eeid,full_name,job_title,department,business_unit,gender,ethnicity,age,hire_date,annual_salary,bonus_percent,country,city,exit_date
E02121,Levi Brown,Sr. Analyst,Sales,Corporate,Male,Black,36,12/26/2021,"$75,119",0%,United States,Chicago,NA
E01486,Mason Cho,Vice President,Accounting,Research & Development,Male,Asian,59,05/18/2011,"$192,213",40%,United States,Chicago,NA
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,45,05/10/2014,"$65,047",0%,Brazil,Sao Paulo,NA
E03027,Elijah Watson,Sr. Manger,Sales,Manufacturing,Male,Caucasian,29,03/16/2017,"$151,413",15%,United States,Seattle,NA
E03689,Wesley Gray,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,62,04/22/2003,"$76,906",0%,United States,Seattle,NA
E01986,Wesley Sharma,Manager,IT,Corporate,Male,Asian,51,02/23/1994,"$122,802",5%,China,Shanghai,NA
E01286,Mateo Mendez,Development Engineer,Engineering,Research & Development,Male,Latino,47,07/14/1998,"$99,091",0%,United States,Austin,NA
E01409,Jose Molina,Controls Engineer,Engineering,Manufacturing,Male,Latino,40,02/28/2008,"$113,987",0%,Brazil,Manaus,NA
E00626,Luna Simmons,Sr. Analyst,Finance,Corporate,Female,Caucasian,28,09/04/2020,"$95,045",0%,United States,Chicago,NA
E04342,Samantha Barnes,Vice President,Marketing,Speciality Products,Female,Caucasian,29,01/05/2017,"$190,401",37%,United States,Columbus,NA
E03904,Hunter Ortiz,Sr. Analyst,Finance,Corporate,Male,Latino,46,01/20/2013,"$86,061",0%,Brazil,Rio de Janerio,NA
E01291,Thomas Aguilar,Sr. Account Representative,Sales,Speciality Products,Male,Latino,45,02/10/2021,"$79,882",0%,United States,Phoenix,NA
E00917,Skylar Bell,Vice President,Engineering,Manufacturing,Female,Caucasian,30,03/06/2018,"$255,431",36%,United States,Columbus,NA
E01484,Anna Zhu,Service Desk Analyst,IT,Manufacturing,Female,Asian,48,08/22/2003,"$82,017",0%,China,Beijing,NA
E03864,Ella Hunter,Analyst,Finance,Manufacturing,Female,Caucasian,51,01/18/2017,"$53,799",0%,United States,Columbus,NA
E00488,Emery Hunter,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,07/03/2021,"$82,739",0%,United States,Phoenix,NA
E02227,Sofia Parker,Cloud Infrastructure Architect,IT,Manufacturing,Female,Caucasian,36,05/30/2014,"$99,080",0%,United States,Chicago,NA
E04802,Lucy Fong,Sr. Account Representative,Sales,Corporate,Female,Asian,40,01/20/2011,"$96,719",0%,China,Chengdu,NA
E01970,Vivian Barnes,Director,Human Resources,Research & Development,Female,Caucasian,51,03/28/2021,"$180,687",19%,United States,Phoenix,NA
E02813,Kai Chow,Engineering Manager,Engineering,Corporate,Male,Asian,45,04/12/2001,"$95,743",15%,United States,Austin,1/15/2010
E02031,Melody Cooper,Development Engineer,Engineering,Research & Development,Female,Caucasian,44,09/04/2009,"$89,695",0%,United States,Austin,NA
E03252,James Bui,Manager,Finance,Manufacturing,Male,Asian,64,07/20/1998,"$122,753",9%,China,Chongqing,NA
E04871,Liam Grant,Sr. Business Partner,Human Resources,Research & Development,Male,Caucasian,30,03/15/2015,"$93,734",0%,United States,Phoenix,NA
E03547,Owen Han,Analyst,Accounting,Corporate,Male,Asian,28,05/12/2017,"$52,069",0%,China,Chongqing,NA
E04742,Kinsley Vega,Vice President,Accounting,Corporate,Female,Latino,33,12/16/2020,"$258,426",40%,Brazil,Rio de Janerio,NA
E01070,Leonardo Martin,Manager,Finance,Speciality Products,Male,Black,51,02/16/1995,"$125,375",9%,United States,Chicago,NA
E04359,Greyson Lam,Vice President,Accounting,Manufacturing,Male,Asian,25,02/08/2021,"$198,243",31%,United States,Miami,NA
E03268,Emilia Rivera,Test Engineer,Engineering,Research & Development,Female,Latino,42,11/23/2017,"$96,023",0%,United States,Miami,NA
E04035,Penelope Johnson,Sr. Analyst,Marketing,Research & Development,Female,Caucasian,34,06/25/2012,"$83,066",0%,United States,Chicago,6/5/2013
E01221,Eva Figueroa,Analyst II,Sales,Research & Development,Female,Latino,48,05/14/2014,"$61,216",0%,United States,Seattle,NA
E00276,Ezekiel Jordan,Sr. Manger,Accounting,Corporate,Male,Caucasian,33,02/10/2013,"$144,231",14%,United States,Columbus,7/17/2020
E01687,Luke Mai,HRIS Analyst,Human Resources,Research & Development,Male,Asian,41,10/24/2007,"$51,630",0%,China,Beijing,NA
E02844,Charles Diaz,Sr. Manger,Sales,Corporate,Male,Latino,55,11/16/2013,"$124,129",15%,Brazil,Sao Paulo,NA
E01263,Adam Espinoza,Test Engineer,Engineering,Manufacturing,Male,Latino,36,04/09/2009,"$60,055",0%,United States,Seattle,NA
E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,08/26/2020,"$189,290",22%,Brazil,Sao Paulo,9/25/2020
E03935,Cora Jiang,Vice President,IT,Corporate,Female,Asian,53,04/30/2008,"$182,202",30%,United States,Austin,NA
E00742,Cooper Mitchell,Manager,Sales,Speciality Products,Male,Caucasian,43,01/31/2006,"$117,518",7%,United States,Seattle,NA
E02810,Layla Torres,Sr. Manger,Finance,Manufacturing,Female,Latino,37,02/24/2013,"$157,474",11%,Brazil,Rio de Janerio,NA
E01860,Jack Edwards,Manager,Marketing,Manufacturing,Male,Caucasian,38,04/06/2008,"$126,856",6%,United States,Columbus,NA
E04890,Eleanor Chan,Sr. Manger,Accounting,Manufacturing,Female,Asian,49,04/02/2001,"$129,124",12%,China,Shanghai,NA
E02285,Aria Xi,Director,Sales,Research & Development,Female,Asian,45,03/01/2002,"$165,181",16%,United States,Seattle,NA
E00842,John Vega,Vice President,Finance,Corporate,Male,Latino,50,01/18/2004,"$247,939",35%,Brazil,Rio de Janerio,NA
E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,08/25/2017,"$169,509",18%,Brazil,Manaus,NA
E01921,Sarah Daniels,Sr. Manger,Accounting,Manufacturing,Female,Caucasian,55,01/09/2011,"$138,521",10%,United States,Miami,NA
E03664,Aria Castro,Engineering Manager,Engineering,Speciality Products,Female,Latino,45,03/14/2014,"$113,873",11%,Brazil,Rio de Janerio,NA
E00813,Autumn Joseph,Enterprise Architect,IT,Corporate,Female,Black,39,05/09/2018,"$73,317",0%,United States,Miami,NA
E00870,Evelyn Liang,Service Desk Analyst,IT,Speciality Products,Female,Asian,40,06/26/2013,"$69,096",0%,United States,Seattle,NA
E04167,Henry Alvarez,Sr. Business Partner,Human Resources,Manufacturing,Male,Latino,48,04/12/2005,"$87,158",0%,Brazil,Manaus,NA
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,09/28/1992,"$70,778",0%,United States,Austin,NA
E00976,Zoe Rodriguez,Director,Human Resources,Speciality Products,Female,Latino,65,05/23/2004,"$153,938",20%,United States,Phoenix,NA
E04112,Axel Chu,Systems Analyst,IT,Research & Development,Male,Asian,43,05/04/2018,"$59,888",0%,China,Beijing,NA
E01807,Cameron Evans,Test Engineer,Engineering,Corporate,Male,Caucasian,50,12/13/2018,"$63,098",0%,United States,Columbus,NA
E04103,Isabella Soto,Vice President,Finance,Corporate,Female,Latino,27,12/15/2021,"$255,369",33%,Brazil,Sao Paulo,NA
E01412,Eva Jenkins,Sr. Manger,Human Resources,Manufacturing,Female,Black,55,11/10/2004,"$142,318",14%,United States,Chicago,NA
E04386,Cameron Powell,Business Partner,Human Resources,Manufacturing,Male,Black,41,08/20/2004,"$49,186",0%,United States,Austin,6/17/2008
E01232,Samantha Foster,Vice President,Human Resources,Research & Development,Female,Black,34,07/27/2019,"$220,937",38%,United States,Austin,NA
E04572,Jade Li,Director,IT,Speciality Products,Female,Asian,47,10/26/2012,"$183,156",30%,United States,Seattle,NA
E02747,Kinsley Acosta,Vice President,IT,Speciality Products,Female,Latino,32,07/22/2020,"$192,749",31%,United States,Chicago,NA
E01064,Clara Kang,Sr. Manger,IT,Manufacturing,Female,Asian,39,03/25/2017,"$135,325",14%,United States,Phoenix,NA
E00178,Harper Alexander,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,26,10/14/2019,"$79,356",0%,United States,Phoenix,NA
E01091,Carter Reed,Development Engineer,Engineering,Manufacturing,Male,Black,40,07/07/2005,"$74,412",0%,United States,Seattle,NA
E01525,Charlotte Ruiz,Computer Systems Manager,IT,Manufacturing,Female,Latino,32,10/02/2017,"$61,886",9%,Brazil,Rio de Janerio,NA
E01309,Everleigh Jiang,Director,Accounting,Research & Development,Female,Asian,58,05/14/2003,"$173,071",29%,United States,Columbus,NA
E02378,Audrey Smith,Field Engineer,Engineering,Research & Development,Female,Caucasian,58,10/27/1995,"$70,189",0%,United States,Columbus,NA
E04127,Emery Acosta,Vice President,Sales,Research & Development,Female,Latino,42,09/11/2013,"$181,452",30%,United States,Columbus,NA
E02072,Charles Robinson,HRIS Analyst,Human Resources,Speciality Products,Male,Caucasian,26,03/12/2021,"$70,369",0%,United States,Seattle,NA
E02555,Landon Lopez,Sr. Analyst,Accounting,Manufacturing,Male,Latino,38,07/05/2008,"$78,056",0%,Brazil,Sao Paulo,NA
E00187,Miles Mehta,Director,Finance,Research & Development,Male,Asian,64,05/02/1996,"$189,933",23%,United States,Miami,NA
E04332,Ezra Simmons,Automation Engineer,Engineering,Speciality Products,Male,Caucasian,38,07/01/2010,"$78,237",0%,United States,Phoenix,NA
E02062,Nora Santiago,Analyst,Accounting,Research & Development,Female,Latino,55,06/26/1996,"$48,687",0%,Brazil,Rio de Janerio,NA
E00034,Caroline Herrera,Sr. Manger,Marketing,Manufacturing,Female,Latino,45,08/19/2004,"$121,065",15%,Brazil,Rio de Janerio,NA
E00273,David Owens,Sr. Analyst,Sales,Corporate,Male,Black,43,04/16/2004,"$94,246",0%,United States,Austin,NA
E00691,Avery Yee,Systems Analyst,IT,Manufacturing,Female,Asian,34,05/22/2016,"$44,614",0%,United States,Miami,NA
E01403,Xavier Park,Vice President,IT,Research & Development,Male,Asian,40,11/08/2020,"$234,469",31%,China,Chengdu,NA
E03438,Asher Morales,Automation Engineer,Engineering,Research & Development,Male,Latino,52,07/10/2020,"$88,272",0%,Brazil,Sao Paulo,NA
E04136,Mason Cao,Analyst II,Finance,Corporate,Male,Asian,52,09/14/2017,"$74,449",0%,China,Beijing,NA
E02944,Joshua Fong,Vice President,Engineering,Speciality Products,Male,Asian,47,06/11/2012,"$222,941",39%,China,Beijing,NA
E03300,Maria Chin,Analyst,Marketing,Manufacturing,Female,Asian,65,09/26/2013,"$50,341",0%,China,Beijing,NA
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,04/11/2021,"$72,235",0%,Brazil,Manaus,NA
E00825,Anna Molina,Sr. Analyst,Accounting,Corporate,Female,Latino,41,06/12/2016,"$70,165",0%,United States,Columbus,NA
E04972,Logan Bryant,Sr. Manger,Marketing,Speciality Products,Male,Caucasian,30,07/18/2020,"$148,485",15%,United States,Miami,NA
E03941,Isla Han,Technical Architect,IT,Manufacturing,Female,Asian,58,06/18/2005,"$86,089",0%,United States,Chicago,NA
E02148,Christopher Vega,Engineering Manager,Engineering,Research & Development,Male,Latino,54,10/27/2007,"$106,313",15%,United States,Chicago,NA
E02252,Lillian Park,Analyst,Marketing,Research & Development,Female,Asian,40,02/24/2021,"$46,833",0%,China,Chengdu,11/10/2021
E03096,Kennedy Zhang,Director,Finance,Research & Development,Female,Asian,63,10/27/2000,"$155,320",17%,China,Chongqing,NA
E04800,Eli Han,Sr. Analyst,Accounting,Manufacturing,Male,Asian,40,01/15/2016,"$89,984",0%,China,Chengdu,NA
E02838,Julia Pham,Engineering Manager,Engineering,Speciality Products,Female,Asian,65,03/16/2006,"$83,756",14%,China,Shanghai,NA
E02980,Hailey Shin,Director,Human Resources,Corporate,Female,Asian,57,10/24/2016,"$176,324",23%,China,Shanghai,NA
E04477,Connor Grant,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,27,10/13/2021,"$74,077",0%,United States,Seattle,NA
E04348,Natalia Owens,Manager,Human Resources,Manufacturing,Female,Caucasian,31,01/18/2021,"$104,162",7%,United States,Austin,NA
E01638,Maria He,IT Systems Architect,IT,Corporate,Female,Asian,45,08/28/2010,"$82,162",0%,China,Beijing,10/3/2020
E03419,Jade Yi,Account Representative,Sales,Speciality Products,Female,Asian,47,07/10/2015,"$63,880",0%,China,Chongqing,NA
E04222,Quinn Xiong,Test Engineer,Engineering,Research & Development,Female,Asian,55,09/08/2013,"$73,248",0%,United States,Columbus,NA
E04126,Dominic Baker,Sr. Analyst,Accounting,Manufacturing,Male,Black,51,10/09/2020,"$91,853",0%,United States,Chicago,NA
E01896,Adam Nelson,Director,Finance,Speciality Products,Male,Caucasian,25,01/14/2020,"$168,014",27%,United States,Chicago,7/27/2021
E03018,Autumn Reed,Development Engineer,Engineering,Corporate,Female,Caucasian,37,09/17/2017,"$70,770",0%,United States,Miami,NA
E03325,Robert Edwards,HRIS Analyst,Human Resources,Corporate,Male,Caucasian,62,10/11/2004,"$50,825",0%,United States,Seattle,NA
E04037,Roman Martinez,Sr. Manger,Finance,Research & Development,Male,Latino,31,09/19/2015,"$145,846",15%,Brazil,Manaus,NA
E01902,Eleanor Li,Sr. Manger,Human Resources,Research & Development,Female,Asian,64,12/07/2003,"$125,807",15%,United States,Chicago,NA
E01466,Connor Vang,Analyst,Sales,Speciality Products,Male,Asian,25,07/28/2021,"$46,845",0%,United States,Miami,NA
E02038,Ellie Chung,Sr. Manger,Marketing,Corporate,Female,Asian,59,08/29/2008,"$157,969",10%,China,Chongqing,NA
E03474,Violet Hall,Solutions Architect,IT,Corporate,Female,Caucasian,40,12/10/2010,"$97,807",0%,United States,Chicago,NA
E02744,Dylan Padilla,HRIS Analyst,Human Resources,Manufacturing,Male,Latino,31,12/09/2015,"$73,854",0%,United States,Seattle,NA
E00702,Nathan Pham,Sr. Manger,Accounting,Manufacturing,Male,Asian,45,12/12/2006,"$149,537",14%,United States,Seattle,NA
E03081,Ayla Brown,Sr. Manger,Sales,Manufacturing,Female,Caucasian,49,04/15/2013,"$128,303",15%,United States,Phoenix,NA
E01281,Isaac Mitchell,Network Architect,IT,Speciality Products,Male,Black,46,06/10/2005,"$67,374",0%,United States,Austin,NA
E04029,Jayden Jimenez,Manager,Human Resources,Corporate,Male,Latino,46,09/24/2011,"$102,167",6%,Brazil,Rio de Janerio,NA
E01116,Jaxon Tran,Sr. Manger,Sales,Manufacturing,Male,Asian,45,09/07/2007,"$151,027",10%,China,Shanghai,NA
E01753,Connor Fong,Manager,Accounting,Speciality Products,Male,Asian,40,02/16/2018,"$120,905",5%,United States,Seattle,NA
E04072,Emery Mitchell,Vice President,Finance,Manufacturing,Female,Caucasian,48,06/02/2018,"$231,567",36%,United States,Seattle,NA
E00672,Landon Luu,Vice President,IT,Research & Development,Male,Asian,31,07/12/2015,"$215,388",33%,United States,Miami,NA
E04419,Sophia Ahmed,Sr. Manger,Sales,Speciality Products,Female,Asian,30,06/13/2015,"$127,972",11%,United States,Seattle,NA
E00467,Sofia Dinh,Operations Engineer,Engineering,Corporate,Female,Asian,55,08/04/1995,"$80,701",0%,United States,Chicago,4/14/2005
E00365,Jonathan Patel,Manager,Marketing,Corporate,Male,Asian,28,02/02/2020,"$115,417",6%,China,Shanghai,NA
E00306,Piper Patterson,Quality Engineer,Engineering,Corporate,Female,Caucasian,45,06/19/2019,"$88,045",0%,United States,Chicago,NA
E03292,Cora Evans,Computer Systems Manager,IT,Speciality Products,Female,Black,45,03/26/2018,"$86,478",6%,United States,Austin,NA
E04779,Cameron Young,Vice President,Engineering,Manufacturing,Male,Caucasian,63,01/18/2016,"$180,994",39%,United States,Seattle,NA
E00501,Melody Ho,Analyst II,Finance,Research & Development,Female,Asian,55,12/02/2007,"$64,494",0%,United States,Columbus,NA
E01132,Aiden Bryant,Account Representative,Sales,Manufacturing,Male,Black,47,10/21/2002,"$70,122",0%,United States,Columbus,NA
E00556,Grayson Walker,Director,Accounting,Manufacturing,Male,Caucasian,29,02/19/2017,"$181,854",29%,United States,Seattle,4/24/2020
E00311,Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,Female,Latino,34,10/21/2016,"$52,811",0%,United States,Miami,NA
E04567,Madeline Hoang,Systems Analyst,IT,Research & Development,Female,Asian,28,10/25/2019,"$50,111",0%,China,Chengdu,NA
E04378,Ezra Simmons,Network Administrator,IT,Manufacturing,Male,Black,31,05/07/2016,"$71,192",0%,United States,Austin,NA
E03251,Ruby Medina,Director,Sales,Manufacturing,Female,Latino,50,12/18/2018,"$155,351",20%,United States,Seattle,NA
E03167,Luke Zheng,Director,Human Resources,Speciality Products,Male,Asian,39,11/28/2006,"$161,690",29%,China,Beijing,NA
E03347,Rylee Dinh,Development Engineer,Engineering,Speciality Products,Female,Asian,35,02/10/2017,"$60,132",0%,China,Chongqing,NA
E03908,Miles Evans,Network Architect,IT,Manufacturing,Male,Caucasian,54,10/24/1994,"$87,216",0%,United States,Miami,NA
E01351,Leo Owens,Systems Analyst,IT,Corporate,Male,Caucasian,47,04/23/2020,"$50,069",0%,United States,Seattle,NA
E02681,Caroline Owens,Director,IT,Speciality Products,Female,Caucasian,26,07/26/2021,"$151,108",22%,United States,Phoenix,NA
E03807,Kennedy Do,Computer Systems Manager,IT,Manufacturing,Female,Asian,42,10/15/2005,"$67,398",7%,United States,Phoenix,NA
E00422,Jade Acosta,Development Engineer,Engineering,Research & Development,Female,Latino,47,08/29/2015,"$68,488",0%,United States,Seattle,NA
E00265,Mila Vasquez,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,07/16/1998,"$92,932",0%,United States,Columbus,NA
E04601,Allison Ayala,Analyst,Finance,Corporate,Female,Latino,36,06/30/2009,"$43,363",0%,United States,Austin,NA
E04816,Jace Zhang,Service Desk Analyst,IT,Speciality Products,Male,Asian,31,02/14/2017,"$95,963",0%,China,Chengdu,NA
E02147,Allison Medina,Manager,Finance,Speciality Products,Female,Latino,55,04/29/2010,"$111,038",5%,Brazil,Sao Paulo,NA
E02914,Maria Wilson,Vice President,Engineering,Research & Development,Female,Caucasian,51,06/14/1996,"$200,246",34%,United States,Columbus,NA
E03268,Everly Coleman,Vice President,IT,Corporate,Female,Caucasian,48,02/18/2015,"$194,871",35%,United States,Columbus,NA
E03972,Jordan Gomez,Sr. Analyst,Accounting,Research & Development,Male,Latino,58,09/15/1994,"$98,769",0%,Brazil,Rio de Janerio,10/3/2016
E02189,Isla Chavez,Account Representative,Sales,Research & Development,Female,Latino,29,05/19/2018,"$65,334",0%,Brazil,Rio de Janerio,NA
E04290,Hannah Gomez,Technical Architect,IT,Manufacturing,Female,Latino,25,05/11/2021,"$83,934",0%,United States,Miami,NA
E03630,Jacob Davis,Director,Accounting,Research & Development,Male,Caucasian,36,09/03/2016,"$150,399",28%,United States,Chicago,NA
E00432,Eli Gupta,Director,Human Resources,Research & Development,Male,Asian,37,05/19/2012,"$160,280",19%,China,Beijing,NA
E03045,Andrew Huynh,Business Partner,Human Resources,Speciality Products,Male,Asian,57,04/28/1997,"$54,051",0%,United States,Miami,10/11/1998
E01924,Anna Gutierrez,Director,Engineering,Research & Development,Female,Latino,59,04/15/2003,"$150,699",29%,Brazil,Sao Paulo,NA
E04877,Samuel Vega,Analyst II,Marketing,Speciality Products,Male,Latino,37,03/30/2013,"$69,570",0%,United States,Miami,NA
E02770,Liliana Do,Service Desk Analyst,IT,Manufacturing,Female,Asian,30,03/29/2019,"$86,774",0%,China,Chengdu,NA
E04590,Isaac Sanders,HRIS Analyst,Human Resources,Manufacturing,Male,Caucasian,49,03/29/2001,"$57,606",0%,United States,Miami,NA
E01977,Raelynn Gupta,Sr. Manger,Finance,Corporate,Female,Asian,48,09/10/2001,"$125,730",11%,China,Chongqing,NA
E01378,Genesis Xiong,System Administrator ,IT,Research & Development,Female,Asian,51,02/25/2012,"$64,170",0%,United States,Columbus,NA
E04224,Lucas Ramos,Sr. Business Partner,Human Resources,Speciality Products,Male,Latino,56,01/21/1998,"$72,303",0%,United States,Phoenix,NA
E03423,Santiago f Gonzalez,Manager,Sales,Research & Development,Male,Latino,36,07/26/2012,"$105,891",7%,United States,Seattle,NA
E01584,Henry Zhu,Vice President,Marketing,Speciality Products,Male,Asian,38,08/25/2021,"$255,230",36%,United States,Austin,NA
E00788,Emily Contreras,Analyst II,Sales,Manufacturing,Female,Latino,56,06/15/1992,"$59,591",0%,Brazil,Sao Paulo,NA
E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,Female,Asian,52,07/23/2012,"$187,048",32%,China,Chengdu,NA
E00834,Vivian Guzman,Analyst II,Finance,Speciality Products,Female,Latino,53,02/09/2002,"$58,605",0%,United States,Phoenix,NA
E04571,Hadley Contreras,Director,Engineering,Corporate,Female,Latino,60,01/04/2017,"$178,502",20%,United States,Austin,NA
E02652,Nathan Sun,Manager,Accounting,Speciality Products,Male,Asian,63,07/29/2015,"$103,724",5%,China,Shanghai,NA
E02693,Grace Campos,Director,Engineering,Research & Development,Female,Latino,37,03/21/2008,"$156,277",22%,Brazil,Manaus,NA
E03359,Autumn Ortiz,Field Engineer,Engineering,Research & Development,Female,Latino,30,12/17/2017,"$87,744",0%,Brazil,Sao Paulo,NA
E00399,Connor Walker,Analyst II,Finance,Manufacturing,Male,Caucasian,30,03/18/2019,"$54,714",0%,United States,Columbus,NA
E02971,Mia Wu,Enterprise Architect,IT,Corporate,Female,Asian,45,08/25/2013,"$99,169",0%,China,Beijing,NA
E03327,Julia Luong,Sr. Manger,Accounting,Research & Development,Female,Asian,55,06/20/2006,"$142,628",12%,China,Chongqing,NA
E00900,Eleanor Delgado,Sr. Analyst,Marketing,Manufacturing,Female,Latino,33,04/27/2014,"$75,869",0%,Brazil,Sao Paulo,NA
E00836,Addison Roberts,Network Architect,IT,Manufacturing,Female,Caucasian,65,05/14/2018,"$60,985",0%,United States,Seattle,NA
E03854,Camila Li,Sr. Manger,IT,Research & Development,Female,Asian,60,07/24/2010,"$126,911",10%,China,Shanghai,NA
E04729,Ezekiel Fong,Vice President,Sales,Research & Development,Male,Asian,56,02/25/2004,"$216,949",32%,China,Shanghai,NA
E00360,Dylan Thao,Director,Engineering,Manufacturing,Male,Asian,53,10/22/2012,"$168,510",29%,United States,Seattle,NA
E02284,Josephine Salazar,Field Engineer,Engineering,Speciality Products,Female,Latino,36,03/14/2016,"$85,870",0%,Brazil,Sao Paulo,NA
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,Female,Asian,46,01/15/2002,"$86,510",0%,China,Beijing,1/2/2003
E04168,Mila Juarez,Manager,Sales,Speciality Products,Female,Latino,38,09/21/2017,"$119,647",9%,Brazil,Sao Paulo,NA
E02861,Daniel Perry,Enterprise Architect,IT,Research & Development,Male,Caucasian,62,04/15/2001,"$80,921",0%,United States,Columbus,NA
E01357,Paisley Hunter,Engineering Manager,Engineering,Research & Development,Female,Caucasian,61,01/15/2010,"$98,110",13%,United States,Chicago,NA
E04387,Everleigh White,Network Architect,IT,Speciality Products,Female,Caucasian,59,10/20/2017,"$86,831",0%,United States,Phoenix,NA
E03090,Penelope Choi,Technical Architect,IT,Speciality Products,Female,Asian,49,09/10/2010,"$72,826",0%,China,Beijing,NA
E03591,Piper Sun,Director,Marketing,Manufacturing,Female,Asian,64,02/14/2011,"$171,217",19%,United States,Seattle,NA
E03328,Lucy Johnson,Manager,IT,Research & Development,Female,Caucasian,57,04/27/2020,"$103,058",7%,United States,Columbus,NA
E04937,Ian Ngo,Manager,Sales,Speciality Products,Male,Asian,52,08/07/2014,"$117,062",7%,United States,Phoenix,NA
E00515,Joseph Vazquez,Sr. Manger,Accounting,Speciality Products,Male,Latino,40,01/23/2019,"$159,031",10%,United States,Miami,NA
E01241,Hadley Guerrero,Sr. Manger,IT,Research & Development,Female,Latino,49,01/14/2004,"$125,086",10%,Brazil,Sao Paulo,NA
E03255,Jose Brown,System Administrator ,IT,Speciality Products,Male,Caucasian,43,04/07/2016,"$67,976",0%,United States,Seattle,NA
E01711,Benjamin Ford,Analyst II,Finance,Speciality Products,Male,Caucasian,31,04/22/2021,"$74,215",0%,United States,Phoenix,NA
E00500,Henry Shah,Director,Accounting,Manufacturing,Male,Asian,55,06/11/2010,"$187,389",25%,China,Chengdu,NA
E04972,Ivy Daniels,Sr. Manger,Human Resources,Speciality Products,Female,Caucasian,41,10/26/2008,"$131,841",13%,United States,Columbus,NA
E02728,Thomas Chang,Sr. Analyst,Accounting,Research & Development,Male,Asian,34,07/26/2011,"$97,231",0%,China,Beijing,NA
E04749,Caroline Phan,Sr. Manger,Finance,Corporate,Female,Asian,41,03/14/2004,"$155,004",12%,United States,Austin,NA
E02023,Maverick Mehta,Systems Analyst,IT,Manufacturing,Male,Asian,40,07/30/2007,"$41,859",0%,United States,Seattle,NA
E03166,Austin Edwards,IT Coordinator,IT,Manufacturing,Male,Black,42,09/24/2006,"$52,733",0%,United States,Chicago,NA
E02599,Daniel Huang,Vice President,Human Resources,Corporate,Male,Asian,31,09/03/2015,"$250,953",34%,United States,Columbus,NA
E01014,Lucas Phan,Director,Marketing,Research & Development,Male,Asian,49,02/19/1999,"$191,807",21%,China,Chongqing,NA
E04529,Gabriel Yu,Technical Architect,IT,Speciality Products,Male,Asian,42,06/23/2014,"$64,677",0%,China,Chongqing,NA
E00085,Mason Watson,Sr. Manger,IT,Corporate,Male,Caucasian,46,09/14/2004,"$130,274",11%,United States,Chicago,NA
E00632,Angel Chang,Network Architect,IT,Research & Development,Male,Asian,37,07/06/2017,"$96,331",0%,China,Shanghai,NA
E02108,Madeline Coleman,Sr. Manger,Finance,Research & Development,Female,Caucasian,51,04/28/2006,"$150,758",13%,United States,Chicago,8/16/2007
E03802,Thomas Vazquez,Director,Engineering,Corporate,Male,Latino,46,07/19/2014,"$173,629",21%,Brazil,Sao Paulo,NA
E03685,Silas Hunter,Solutions Architect,IT,Corporate,Male,Black,55,05/04/1998,"$62,174",0%,United States,Chicago,NA
E01089,Nicholas Brooks,Analyst II,Accounting,Manufacturing,Male,Caucasian,43,10/20/2017,"$56,555",0%,United States,Phoenix,NA
E03988,Dominic Thomas,Analyst II,Marketing,Manufacturing,Male,Caucasian,48,09/28/2005,"$74,655",0%,United States,Austin,NA
E00401,Wesley Adams,System Administrator ,IT,Corporate,Male,Caucasian,48,08/11/2003,"$93,017",0%,United States,Seattle,NA
E03429,Ian Wu,Sr. Analyst,Marketing,Manufacturing,Male,Asian,51,04/14/2012,"$82,300",0%,China,Chengdu,NA
E02417,Alice Young,Automation Engineer,Engineering,Research & Development,Female,Caucasian,46,01/24/2008,"$91,621",0%,United States,Chicago,NA
E00359,Logan Carrillo,Sr. Analyst,Marketing,Research & Development,Male,Latino,33,11/30/2014,"$91,280",0%,United States,Miami,NA
E02044,Caroline Alexander,Business Partner,Human Resources,Manufacturing,Female,Black,42,09/18/2020,"$47,071",0%,United States,Columbus,NA
E01479,Serenity Bailey,IT Systems Architect,IT,Manufacturing,Female,Caucasian,55,11/21/2011,"$81,218",0%,United States,Chicago,NA
E04962,Elena Tan,Vice President,Engineering,Manufacturing,Female,Asian,50,10/13/2008,"$181,801",40%,China,Chongqing,12/11/2019
E02769,Eliza Adams,Account Representative,Sales,Manufacturing,Female,Caucasian,26,11/21/2021,"$63,137",0%,United States,Chicago,NA
E03893,Alice Xiong,Vice President,Engineering,Manufacturing,Female,Asian,55,09/02/2018,"$221,465",34%,China,Chengdu,NA
E00553,Isla Yoon,Quality Engineer,Engineering,Research & Development,Female,Asian,50,05/10/2013,"$79,388",0%,United States,Austin,8/4/2019
E03540,Emma Perry,Solutions Architect,IT,Manufacturing,Female,Caucasian,28,01/22/2018,"$68,176",0%,United States,Seattle,NA
